"","mn1","q751","q251","mn2","q752","q252","mn3","q753","q253","years"
"1",1.76204703781464e-16,1.88651785337669e-16,1.63491523552013e-16,3.20255810382346e-16,3.44761260287519e-16,2.95075160574842e-16,4.67164337364919e-16,5.04175504959517e-16,4.29270343586074e-16,2018
"11",0.000962420921125494,0.00103040623275205,0.000892982192395318,0.00173078981735246,0.00186322701846016,0.00159470356733528,0.00249787451030031,0.00269576900852435,0.00229525964100707,2019
"21",0.00372400424951679,0.00398706751408707,0.00345531711357027,0.00669485693996765,0.00720713642419874,0.00616846259316283,0.00965871866421276,0.0104239321589899,0.00887525255668027,2020
"31",0.00810975932637172,0.00868263186365507,0.00752463969153212,0.0145743356757199,0.0156895399631179,0.0134284041081109,0.0210192286886714,0.0226844803645456,0.0193142558184018,2021
"41",0.0139613556036822,0.0149475842803568,0.0129540429370624,0.0250816397427319,0.027000845722231,0.0231095537836803,0.0361602680917601,0.039025070979238,0.033227131153612,2022
"51",0.0211355372100004,0.0226285493132038,0.0196106068986607,0.0379565807111787,0.0408609560793538,0.0349721809413903,0.0547026642784355,0.0590364913999581,0.0502654625186744,2023
"61",0.0295026883902459,0.0315867551639466,0.0273740676059581,0.0529637606618943,0.0570164608522205,0.0487993962179724,0.0763034051723774,0.0823485543650637,0.0701140612314077,2024
"71",0.038945535461985,0.0416966439496826,0.0361356126799307,0.0698902129665754,0.0752380975550535,0.064394977843184,0.100652197778393,0.108626383868354,0.0924878036853955,2025
"81",0.04935797229695,0.0528446142165155,0.045796791556,0.0885432675777068,0.0953184533439708,0.0815814047748913,0.127468354242125,0.137567054516366,0.117128769996683,2026
"91",0.0606439975727856,0.0649278831188774,0.0562685294131309,0.108748619463297,0.117069885651514,0.10019807700636,0.156497974241588,0.168896550694452,0.143803654945378,2027
"101",0.0727167531586957,0.07785345687684,0.0674702349400135,0.130348580854597,0.140322640699223,0.120099705233929,0.187511395510835,0.202367015107772,0.172301425299861,2028
"111",0.085497654010827,0.0915371992074006,0.079328993008548,0.153200499814725,0.164923151057727,0.141154853768323,0.220300886979576,0.237754259159548,0.202431200077177,2029
"121",0.0989156008690884,0.105902988406288,0.0917788341746377,0.177175329300649,0.190732495215691,0.163244622106539,0.254678561440838,0.274855510249486,0.234020332524478,2030
"131",0.112906267875794,0.120881954644064,0.10476007369519,0.202156332397198,0.217625003740455,0.186261451968999,0.29047448685572,0.313487373446363,0.266912674625122,2031
"141",0.127411457986391,0.13641178984313,0.118218713446001,0.228037910764593,0.245486998080294,0.210108047862363,0.327534977392509,0.353483987134444,0.300967006760002,2032
"151",0.142378519720994,0.152436123228656,0.132105900754702,0.254724544574236,0.274215649385823,0.234696400364636,0.365721047096128,0.394695354174653,0.336055616807455,2033
"161",0.157759819419385,0.168903956303726,0.146377438732592,0.282129833323193,0.303717945929182,0.259946902357227,0.404907010711543,0.436985831877994,0.372063014460759,2034
"171",0.173512263717613,0.185769151593736,0.160993343204584,0.310175627927498,0.33390975878654,0.285787549358868,0.444979217657673,0.480232765678349,0.408884767895633,2035
"181",0.189596867466979,0.202989970043227,0.175917441802858,0.338791245408003,0.364714996432989,0.312153215958101,0.485834906480767,0.524325252829743,0.446426451144531,2036
"191",0.20597836277101,0.220528652435265,0.191117011211845,0.367912758308965,0.396064839788613,0.338985001102529,0.527381168322134,0.569163023754645,0.484602691642593,2037
"201",0.222624845227499,0.238351040644058,0.206562448933919,0.3974823517377,0.427897050059862,0.366229635692296,0.569534009026165,0.614655429847346,0.523336308412688,2038
"211",0.239507453835098,0.256426234930193,0.22222697629076,0.42744774159024,0.460155342448796,0.393838946548732,0.612217500501715,0.660720527601823,0.56255753226405,2039
"221",0.256600081360867,0.274726283848565,0.23808636968789,0.457761648140402,0.492788819462046,0.421769371393361,0.655363012843314,0.707284249897626,0.602203300199901,2040
"231",0.273879112270007,0.293225903665507,0.254118717452801,0.488381319723748,0.525751458147854,0.449981519983008,0.69890851952687,0.754279656149603,0.64221661697215,2041
"241",0.291323185594913,0.311902224476933,0.270304199813017,0.519268101749265,0.559001646129238,0.478439777008661,0.742797968725896,0.801646253816558,0.682545977393239,2042
"251",0.308912980370255,0.330734560486572,0.286624889812046,0.550387046725264,0.592501761789699,0.507111942783733,0.786980714456053,0.849329384478134,0.723144843623359,2043
"261",0.32663102148663,0.349704202145151,0.303064573170704,0.581706561396483,0.626217794409846,0.535968908125603,0.831411001854613,0.897279668335455,0.76397117220141,2044
"271",0.344461504019708,0.368794228070163,0.319608585290924,0.61319808746078,0.660119000453047,0.564984360176497,0.876047501443191,0.945452501575758,0.804986986085982,2045
"281",0.362390134276722,0.387989334863904,0.336243663770755,0.64483581266992,0.694177592560124,0.594134516219457,0.92085288771238,0.993807601570322,0.84615798742305,2046
"291",0.380403985969381,0.40727568312645,0.3529578149544,0.676596409423003,0.728368458140372,0.623397882825296,0.965793457810493,1.04230859535377,0.887453207164751,2047
"301",0.398491370073792,0.426640758122503,0.369740193181761,0.708458798236276,0.762668904742482,0.65275503792,1.01083878652001,1.09092264726597,0.928844688032387,2048
"311",0.416641717074867,0.446073243707552,0.386580991528914,0.740403933722021,0.797058429656869,0.682188433591378,1.05596141406846,1.1396201220297,0.970307197650497,2049
"321",0.434845470416685,0.465562908251579,0.403471342946036,0.772414610934494,0.83151851144353,0.711682217661378,1.10113656364918,1.1883742798919,1.01181796898089,2050
"331",0.453093990092424,0.4851005014186,0.42040323080333,0.80447529014474,0.866032421298912,0.741222072238278,1.14634188582462,1.23716100077736,1.05335646545865,2051
"341",0.471379465408953,0.504677660768952,0.437369407949656,0.836571938290546,0.900585052373871,0.7707950676329,1.191557227254,1.2859585346937,1.09490416847946,2052
"351",0.489694836052998,0.524286827249578,0.454363323473775,0.868691885514661,0.935162765334437,0.800389530176751,1.23676442143056,1.33474727588986,1.13644438511114,2053
"361",0.508033720668881,0.543921168726515,0.471379056435217,0.900823695355477,0.969753248619699,0.829994922619185,1.28194709933394,1.38350955850726,1.17796207410496,2054
"371",0.526390352233011,0.563574510794238,0.488411255901497,0.932957047290938,1.00434539199816,0.859601735906488,1.32709051810233,1.43222947167858,1.21944368846506,2055
"381",0.544759519578354,0.583241274169428,0.505455086691602,0.965082630460134,1.03892917215709,0.889201391259793,1.37218140600992,1.48089269222343,1.26087703300045,2056
"391",0.563136514483582,0.602916418042501,0.522506180282666,0.997192047498847,1.07349554917972,0.918786151571718,1.41720782219757,1.52948633326627,1.30225113543376,2057
"401",0.581517083797409,0.622595388820017,0.539560590388528,1.02927772752663,1.10803637287424,0.948349041234978,1.46215902975316,1.57799880726143,1.34355612977651,2058
"411",0.59989738611892,0.642274073744907,0.556614752765585,1.06133284741449,1.14254429801699,0.977883773600531,1.50702538087085,1.62641970205413,1.3847831508038,2059
"421",0.618273952600327,0.661948758930346,0.573665448843633,1.09335126054519,1.17701270766167,1.00738468533922,1.55179821294007,1.67473966873716,1.42592423857195,2060
"431",0.636643651479886,0.681616091387273,0.590709772817729,1.12532743235316,1.21143564374681,1.03684667704997,1.59646975452401,1.72295032018038,1.46697225202354,2061
"441",0.655003655989962,0.701273044665485,0.607745101871696,1.15725638199879,1.24580774430712,1.06626515952005,1.64103304028646,1.77104413921773,1.50792079081499,2062
"451",0.673351415319085,0.720916887764462,0.624769069235271,1.18913362959351,1.28012418666028,1.0956360050996,1.6854818340155,1.81901439557246,1.54876412458417,2063
"461",0.691684628337352,0.740545157002731,0.641779539805214,1.22095514844715,1.31438063600041,1.12495550370375,1.72981055897361,1.86685507068912,1.58949712895011,2064
"471",0.710001219822224,0.760155630564251,0.65877458808642,1.25271732185995,1.3485731988838,1.15422032300179,1.77401423487677,1.91456078971993,1.63011522760411,2065
"481",0.728299318946754,0.779746305467058,0.675752478232221,1.28441690402649,1.3826983811413,1.1834274723952,1.81808842087192,1.96212675998454,1.6706143399125,2066
